	1	Goods	App	Delivery	Payment	CS	Price	Marketing	AD
0	업데이트도 되지않고 갑자기 앱실행도 안되네요 롯데닷컴 이용말라는건지 ㅠㅜ 예전앱도 실행되게해주고 업데이트는 선택으로해주세요 업데이트되지않는 기기도 고려해서요 오늘 앱으로 꼭 구입핦제품이 있는데 사지말라는건지	1	1	0	0	0	0	0	0
1	어플이 먹통이네요 업데이트하라해서 업뎃눌렸더니 더이상 실행되지않고 그대로입니다 배송이 잘못 와서 교환신청해야하는데 안되서 속상하네요 배송도 잘못보내주시고 고객센터는 연결안되고 어플은실행안되고 왜이럴까요?	1	1	1	1	1	0	0	0
2	빠른 신상품안내와 날마다 다른 할인특가로 잊어버린 쿠폰까지 챙겨주셔서 감사드려욥~	1	0	0	0	0	1	1	0
3	왜 갑자기 어플 실행이 안되나요. 오늘 주문해야하는 상품이 있는데 어플이 먹통. 지웠다 다시 깔아도 안됩니다. 답답해요	1	1	0	0	0	0	0	0
4	업뎃 이후면 다시 알람이 설정되는 쓰레기앱	0	1	0	0	0	0	0	0
5	쓰레기 같은 어플 모바일 인터넷에서 하는게 더 렉 안 걸림 어플 만들거면 좀 똑바로 만들던가 어이없네	0	1	0	0	0	0	0	0
6	쇼핑하기 좋아요	0	0	0	0	0	0	0	0
7	1개를 사도 무료배송이 되는데다가 할인까지 되니 1석2조네	0	0	1	0	0	1	1	0
8	품 적당하고 두께가 도톰하군요 요새 기온이 올라가는데 지금 입으면 딱 좋습니다	0	0	0	0	0	0	0	0
9	이용하다 화가 나서 처음으로 어플 후기 남깁니다. 이런 UI/UX로 오픈했다는 게 말이 안됩니다.. 오픈한지 한참됐는데도 아직도 혹평이 난무하는데 VOC 체킹 안하나요?	1	0	0	0	0	0	0	0
10	굿이요.^^	0	0	0	0	0	0	0	0
11	앱이 사용중 팅김. 누르지도 않았는데 자동으로 실행되기도함	1	1	0	0	0	0	0	0
12	반품접수 버튼만 누르면 앱 먹통 반품처리를 할수가없네요 다른건 다 되는데 반품접수만 안되는 이유는뭔데요ㅡㅡ3일내도록 안되네요	1	1	0	0	1	0	0	0
13	굿	0	0	0	0	0	0	0	0
14	아니 자기들이 품절로 상품취소요청했으면서 보내준링크 클릭해보니 앱설치하라네??	1	1	0	0	0	0	0	0
15	배송지 입력해도 안뜨고 로그인도 잘 안되네요	0	1	0	0	0	0	0	0
16	쇼핑어플이 이렇게 자주 먹통이 되서야 물건을 팔겠다는건지 말겠다는건지.. 돈좀 더써서 앱개발자좀 바꾸지...	1	1	0	0	0	0	0	0
17	사용하기 편리합니다.	1	0	0	0	0	0	0	0
18	다른데보다 저렴한건 거의 아예없는수준 그냥 매달 2900원씩 나가요. 여기선 거의 구매를 안하게됩니다.	1	0	0	0	0	0	0	0
19	검색 후 뒤로가면 이전조회화면이 아닌 다른화면나옴. 자동로그인안됨. 등등. 머 이런앱이있나싶음. 타사앱이랑너무비교됨. 한번쓰구불편해서 지울계획	1	1	0	0	0	0	0	0
20	롯데 응원합니다!	0	0	0	0	0	0	0	0
21	스크롤할때마다 오른쪽 하단에있는 c버튼 같은게 눌려서 마이크 켜지는게 너무 빡이치네요 개선좀 해주세요 ㅎㅎ	0	1	0	0	0	0	0	0
22	앱이 들어가지기만 하고 실행이 안되네요 ㅠㅠ	0	1	0	0	0	0	0	0
23	여기 취소 환불방법도 안써져있고 버튼도 없고 들어갈때마다 로그인 해야되고 평점 보고 쓸껄 그랬어요 너무 구려서 못쓰겠어요. 그리고 취소 안돼서 5천원 날리게 생겼네요	1	1	0	0	0	0	0	0
24	아무것도 안샀고 앱도없엇는데 카톡으로 구매알림와서 놀랏네요..구매내역에 없고 지출된것도 없는데 그냥 두면되나요	1	1	0	0	0	0	0	0
25	매우만족함 상품이최상품으로받아서좋아요	1	0	0	0	0	0	0	0
26	업데이트안해도좀 쓰게하라고! 별것도없으면서	0	1	0	0	0	0	0	0
27	밝은곳에서 보면 진밤색이 너무 고급스럽고 가죽이며 사이즈가 넘 예뿌요~~~^^	0	0	0	0	0	0	0	0
28	아동의류-여아의류 카테고리에 왜 성인여성 의류들이 수도 없이 포함되어있나요. 안그래도 어플 업데이트 될때마다 상품검색이 너무 힘들어지는데 아이옷 보려고 들어가면 어른옷만 잔뜩 떠서 쇼핑하기가 번거로워요. 조치해주세요~	1	1	0	0	0	0	0	0
29	최고	1	0	0	0	0	0	0	0
30	카페같은 분위기 나요 가격대비 넘 좋아요~	1	0	0	0	0	1	0	0
31	기대 이상 예뻐요~	0	0	0	0	0	0	0	0
32	휴~~ 바로구매 누르면 주문서 작성중이라고 계속 로딩중ㅠㅠ미춰 돌아버릴듯	1	0	0	0	0	0	0	0
33	와 진짜 별로다 결제10번 다실패 버벅대고 안뜨고 도랏나..	0	0	0	1	0	0	0	0
34	저는 롯데온 어플 쓰기 편해용!!	0	0	0	0	0	0	0	0
35	좋아요	0	0	0	0	0	0	0	0
36	자동로그인이 매번 풀리는 이유좀ㅋㅋㅋㅋ 설마 몰 이동해서 그렇다면 몰이동 왜 만든건지도 설명좀ㅋㅋㅋㅋ	0	1	0	0	0	0	0	0
37	앱전용 할인혜택 때문에 자주 이용하네요	1	1	0	0	0	1	0	0
38	인터넷에서 롯데닷컴 웹사이트 들어가려고 하면 롯데닷컴 어플이 자동 실행 되는거 같은데 롯데닷컴 어플을 지워도 자동 실행 시도합니다. 앱이 없으니 당연히 화면 전환되려다가 꺼져버립니다. 롯데닷컴은 모바일 전용 웹사이트가 없어서 어플로 자동 실행 되는건가요? 이거 해제하고 싶은데 어떻게 하는거죠	0	1	0	0	0	0	0	0
39	짜증날정도로 느림	0	0	0	0	0	0	0	0
40	주문할 때 살짝 불편하긴 한데 막상 제품 받으면 만족도는 항상 양호하다	1	1	0	0	0	0	0	0
41	업데이트후 넘 불편해요ㅜㅜㅜㅜ	0	1	0	0	0	0	0	0
42	조음	0	0	0	0	0	0	0	0
43	오류가 해결되서 이전 별점 수정합니다 ㅋ지금은 잘되고있어요	0	1	0	0	0	0	0	0
44	물건이 좋은게 다양하게 만다	1	0	0	0	0	0	0	0
45	필터적용해서 상품보기가 불펀함	1	0	0	0	0	0	0	0
46	"친구에게 생일 선물로 향수를 보냈습니다. 전화번호 이름 주소 제대로 정확히 기입했구요. 몇번이고 확인까지 했습니다. 택배기사님 친구 아침에 일하는데 ""롯데택배인데요 몇동몇호신데요"" 이런 시비조로 말씀하셨다 하시더라구요? 예, 물론 문자로 감정표현에 와전이 있을수 있다고 생각합니다. 그런데 당사자는 배송 받지도 어디있는지 조차 모르는 제품은 왜 배송완료가 된거죠? 택배기사님은 연락도 안받으시구요? 송장번호 문자내용 배송완료처리 되어 있는 부분까지 캡쳐본 다 있구요. 판매에만 신경쓰지마시고 이러한 배송 부분까지 세심한 신경을 부탁드립니... 전체 리뷰"	1	0	1	0	1	0	0	0
47	업데이트 강요해서 짜증나네요 허구한날 업뎃하고 업뎃 안 하면 앱 사용도 못 하게 하고 ㅡㅡ	1	1	0	0	0	0	0	0
48	맞는 아이디를 틀리다고계속 뜬다ㅡ	0	1	0	0	0	0	0	0
49	상품설명과 배송된 상품이 달라	1	1	1	0	0	0	0	0
50	아주 예쁜 밝은 블루~기본색상 폴라 다 있어서 주문한건데 아주 예뻐요 두께도 도톰해서 좋구 걘적으로 모크넥 싫어하는데 목 충부히 올라오는 니트입니다 가성비 최고네요!!	1	1	0	0	0	1	0	0
51	갑자기 출석체크 기능이 왜 사라졌나요? 애써 모아놨던 클로버 다 쓰지도 못했는데??????	0	1	0	0	0	0	1	0
52	유용한쇼핑	0	0	0	0	0	0	0	0
53	비밀번호 설정하다 제거중ㅠ	0	1	0	0	0	0	0	0
54	저렴하게 구입하기 아주 좋아요	1	0	0	0	0	0	0	0
55	아니 뭐 결제 오류가 이렇게 많나요	0	1	0	1	0	0	0	0
56	화면에서 본거랑 똑 같구요~~이월상품이라 저렴하게 잘 구매했습니다 싸이즈는 평균 싸이즈 이구요 올 겨울 잘 신을수 있겠습니다 좋은상품 감사합니다	1	1	0	0	0	0	0	0
57	귀저기 저렴하게 구매했어요	1	0	0	0	0	0	0	0
58	믿고 구매할수있어요^^	1	0	0	0	0	0	0	0
59	사용하기 만족합니다.	1	0	0	0	0	0	0	0
60	일단 주문 후에 변경 및 취소가 불가. 앱이든 폰버젼이든. 이건 분명하다 본사 담당자 일 안함	1	1	0	0	0	0	0	0
61	다운로드안되고 개불편.ㅠ	0	1	0	0	0	0	0	0
62	원하는 상품 발품 안팔아도 되고 집까지 안전하게 배송^^~ 할인까지 덤으로~ 완전 좋아요	1	0	1	0	0	1	0	0
63	다른사이트에비해비싸요 그렇지만 물건도 다양하고 상품이 좋아요	1	1	0	0	0	0	0	0
64	좋아요	0	0	0	0	0	0	0	0
65	믿고 사는	0	0	0	0	0	0	0	0
66	매우만족 합니다.	0	0	0	0	0	0	0	0
67	홈쇼핑하기 좋은곳^^	0	0	0	0	0	0	0	0
68	업데이트를 안하면 앱 자체를 이용하지 못하게 해놨네요? 웬 자신감인지.. 이번에 필요한 것만 해결하고 더 안쓰렵니다.	1	1	0	0	0	0	0	0
69	굿	0	0	0	0	0	0	0	0
70	종종 특가도 해서 좋게 좋게 이용 중에 있습니다.	1	0	0	0	0	0	0	0
71	그냥 쇼핑몰 앱이다. 그런데 왜 주문 확인 시마다 앱 설치 모드로 들어가는 거야. 젠장	1	1	0	0	0	0	0	0
72	알림 채널을 하나를 안 쓰고 계속 새거로 만들어 쓰나요? 계속 오는 알림 길게 눌러서 해당 채널을 안받기로 바꿔도 새로운 채널로 광고 계속 보내네요. ㅡㅡ 안드로이드 P OS부터는 채널을 설정해야 될텐데, 기존 방식대로 하나보죠?	0	1	0	0	0	0	0	1
73	배송 빨랐어요 소 모유유산균 이고 너무달아 상품은 별1개입니다	1	0	1	0	0	0	0	0
74	종종 특가도 해서 좋게 좋게 이용 중에 있습니다.	1	0	0	0	0	0	0	0
75	알림설정을 무음으로 바꾸는데도 계속 새 채널로 들어와서 앱 삭제합니다. 평가 보니까 저랑 같은 의견주시는 분들 있는데 아직까지 개선할 의지가 없는걸 보면 그냥 이대로 가려고 하는듯 하네요. 다른 쇼핑몰들이 바보라서 무음알림되게 하는게 아닐텐데요. 쇼핑소식 받아보고 구매하려는 소비자들이 있는데 세심하게 의견반영되지 않는게 아쉽습니다. 앞으로 롯데에서는 안 살것 같네요.	1	1	0	0	1	0	0	0
76	알림설정 소리안나게 변경해도 계속 채널 바꿔서 치고 들어오네요. 알림 아예 껐습니다. 이것도 무단 변경하면 앱 삭제하고 구글에 신고하겠습니다	0	1	0	0	0	0	0	0
77	지금 카드할인들이 삼성.국민.농협.롯데카드만 계속돌고도는데 한달다대감 ㅡㅡ;; 비씨카드나 신한카드안하냐 전화문의하니 모바일이 좀문제있어서 업뎃이안됫다고하구 언제되는건가요 카드사할인해택을 제한한것인지!!!!롯데닷컴 안쓰게만드네요!!	1	1	0	1	1	0	0	0
78	좋음	0	0	0	0	0	0	0	0
79	잘받았고 잘맞아요~ 고맙습니다...	0	0	0	0	0	0	0	0
80	깔고사용하는데또업데이트하라그러고광고수신하라그러고휴	1	1	0	0	0	0	0	1
81	다른 쇼핑몰보다비싸다 물건이 다양하지않다	1	1	0	0	0	0	0	0
82	아주좋은 쇼핑	0	0	0	0	0	0	0	0
83	백화점 가지 않고 집에서 편하게 제품 받아볼수 있어 좋아요	1	0	0	0	0	0	0	0
84	환불 입금 좀 빨리 해주세요	1	0	0	1	0	0	0	0
85	타사이트에비해비싼게 가끔있어요.그래서사용빈도가줄었어요	1	1	0	0	0	0	0	0
86	좋음	0	0	0	0	0	0	0	0
87	좋아용	0	0	0	0	0	0	0	0
88	이게 뭐예요.. 잘쓰고 있었는데.. 업이트도 제거도 설치도 아무 것도 안되요.	0	1	0	0	0	0	0	0
89	편리해서 쓰기 좋아~~요 ㅋ	0	0	0	0	0	0	0	0
90	좋아요~~~~~~	0	0	0	0	0	0	0	0
91	유료 멤버쉽까지 포기하고 지우기 전에 평가	0	0	0	0	0	0	0	0
92	롯데 싫음	0	0	0	0	0	0	0	0
93	빠르고 친절한 배송으로 물품을 잘받았으며 제품를 보호하는 포장도 단단했고 하자없는 상품이고 보니 가성비가 짱~!입니다	1	0	1	0	0	0	0	0
94	웹이든 앱이든 가입 자체가 어렵네요. 그리고 주소지 변경도 제대로된 주소검색이 안되고 솔직히 싼물건 있어서 참고 주문해 볼려고 하고 있는건데 다음엔 안쓸거 같아요. 왜 이렇게 복잡하게 만들어져 있나요? 10년 시스템인줄	1	1	0	1	0	0	1	0
95	토리버치랑 지방시랑 다 거의 50% 가까운 가격으로 할인되네요	1	0	0	0	0	1	0	0
96	로그인조차 불가능하다. 이걸 사용하라고 만든 거냐? 쇼핑몰 앱수준이 이런 수준인데 무슨 구매를 하겠냐?	1	1	0	0	0	0	0	0
97	은근 가격이 괜찮음. 혜택이 쏠쏠함.	1	0	0	0	0	1	0	0
98	제품이 맘에 들었습니다 바느질도 꼼꼼하고 색상도 원하던 그대로라 좋았습니다	1	0	0	0	0	0	0	0
99	저희가 엘리베이터가 없는 아파트라서 배달해주신게 정말 감사했어요	0	0	1	0	0	0	0	0
100	제품에 하자가 너무많고 거기에대한 응대 또한 없어서 어이없음	1	0	0	0	1	0	0	0
101	Good입니다~~♧	0	0	0	0	0	0	0	0
102	굿 ㅣ	0	0	0	0	0	0	0	0
103	가격대비 좋은상품	1	0	0	0	0	1	0	0
104	편하게 보려고 받은 앱이 더 느려서 당황	0	1	0	0	0	0	0	0
105	저번에 너무 느리다고 글 올렸더니 며칠 뒤에 바로 빨라졌는데.. 얼마안가네요;; 요즘엔 또 다시 느려졌어요💦 와..진짜 쓰고싶어도 쓰질못하네요,.. 각 카테고리에서 밑으로 내릴 때, 뚝뚝끊기고..내리고도 한 3초 뒤에 내려가고..그러지않게 좀 자연스럽게 내려가게 개선해주세요 부탁이에요......!	0	1	0	0	0	0	0	0
106	와 진짜 너무 느리고 오류많고 불편합니다	0	1	0	0	0	0	0	0
107	아무 메시지도 없이 할인쿠폰 받기는 안되는데... 고객센터에서는 ... 어느 폰인지, 운영체제는 뭔지 묻지도 않은 체로 ... 자기는 되니까 내가 문제라고 하고... 혹시나해서 앱 지우고 다시 깐 뒤에 쿠폰다운 받으려니까 - 모바일 전용 쿠폰이니까 모바일 앱을 다운받아서 다시 시도하라고 하고 ㅋ ... 다시 눌르니까 똑같이 아무 반응 없고... 총체적 난국인듯	1	1	0	1	1	1	1	0
108	다운로드가 안돼요	0	1	0	0	0	0	0	0
109	좋아요.쎄일도많구	0	0	0	0	0	0	0	0
110	편리하게 사용하고 있는데 이벤트가 많았으면 좋겠음	1	0	0	0	0	0	1	0
111	업데이트불가	0	1	0	0	0	0	0	0
112	다양한컨텐츠	0	0	0	0	0	0	0	0
113	배송도 빠르고 옷 품질도 쵝오입니다~~담에도 또구입할의사 있습니다~~감사합니당	1	0	1	0	0	0	0	0
114	좋아요	0	0	0	0	0	0	0	0
115	굿 말이필요하겠어요?	0	0	0	0	0	0	0	0
116	빠른배송 좋아욤	0	0	1	0	0	0	0	0
117	싸게 살수 잇어요	0	0	0	0	0	0	0	0
118	찻잔젤저렴히구매했어요	1	0	0	0	0	1	0	0
119	카테고리정렬이 없어져 너무 불편하고 렉은 또 대박작렬 ㅠ 앱담당자는 신세계앱 담당자한테 가서 좀 배우고오셈! 이걸앱이라고 만든겁니까? 최악의 업뎃!	0	1	0	0	0	0	0	0
120	로그인 오류: 대체 앱관리자가 있긴하고, 리뷰를 보긴하나요? 같은 내용의 리뷰가 수두룩하니 게재가 되었는데 답글도 없고, 오류 수정도 안되고... 로그인 오류가 발생해서 리뷰가 올라오기 시작한지가 언제인데 아직까지 묵묵부답, 롯데닷컴을 이용하지 말라는 건지?	1	1	0	0	0	0	0	0
121	나름 신속 정확하게 상품도 좋고 택배도 좋습니다	1	0	1	0	0	0	0	0
122	아니 도대체 업데이트 한번 할려고 몇 십분을 기다려야 하는지요 업데이트 속도가 너무 느려서 저커하고 다시 설치해도 먹통 도대체 누가 개발 한건지 업데이트 안하고 싶은데 안하면 접속 자체가 안되니까 짜증납니다	0	1	0	0	0	0	0	0
123	조아여	0	0	0	0	0	0	0	0
124	조아요	0	0	0	0	0	0	0	0
125	실용적이요..	0	0	0	0	0	0	0	0
126	개인적으로는 좋아요	0	0	0	0	1	0	0	0
127	결재창에서 화면이 넘어가지 않아요ᆢ매번ᆢ나름 단골이었는데 이것 때문에 화가나서 요즘 이용 안했는데 오랜만에 와보니 여전히 결재가 안되네요ᆢ최악의 앱시스템이에요	1	1	0	1	0	0	0	0
128	가끔사용합니나	1	0	0	0	0	0	0	0
129	최악입니다 느리고	0	0	0	0	0	0	0	0
130	geiyoydour	0	0	0	0	0	0	0	0
131	좋아요	0	0	0	0	0	0	0	0
132	좋아요 좋아	0	0	0	0	0	0	0	0
133	좋아요ㅇ	0	0	0	0	0	0	0	0
134	리뷰쓰기위해 깔았습니다 누군가가 결제한게 왜 저한테 톡이오는거죠? 저한테 보낸것도 아닌데...잘못 온 거 같은데 진짜 처음 봤을 때 어이없었습니다	0	0	0	1	0	0	0	0
135	다른 곳 보다 저렴하게 잘 구매하고 있어요~	1	0	0	0	0	0	0	0
136	비회원으로 주문하시려면 부디 신중하게 하세요. 돌이킬 수 없습니다.	1	1	0	0	0	0	0	0
137	화장품 가격 진짜 저렴, 입생로랑 구매했어요.	1	0	0	0	0	1	0	0
138	쇼핑앱 중에 제일 느리고 구림 아ㅏㅏ주 경악스러울 정도로 구려요! 이런 앱에서 사야만 혜택을 준다는게 정말... 전 자본주의의 노예니까 어쩔 수 없지요 ㅎ	0	1	0	0	0	0	0	0
139	빨리 받아봐야 하는 상품이였는데 배송이 빨라서 이렇게 리뷰도 남기네요^^ 감사합니다.	1	0	1	0	0	0	0	0
140	빠른배송 감사	0	0	1	0	0	0	0	0
141	최악입니다. 앱구매 혜택이 있다고 로그인을 하라는데 로그인이 막히면 어쩌나요.	1	1	0	0	0	0	0	0
142	로긴이 자꾸 끊겨요ㅡㅡ	0	0	0	0	0	0	0	0
143	별하나도 아까움, 아디비번바꾼적도없는데 불일치라니@@쓰지말란건지	0	0	0	0	0	0	0	0
144	반쪽짜리 통합. 단순 브라우저 기능 외에는 없음. 특정 이벤트라던가 직접 앱실행이 필요한 경우 해당 앱으로 넘겨주는 경우도 있지만 아닌 경우도 있어서 일관성 떨어짐. 이 리뷰는 롯데닷컴 앱에 작성했지만 실제로 7개 앱 리뷰를 다 쓴다면 다 마찬가지.	0	1	0	0	0	0	1	0
145	통합되서 좋은가 했는데 어플 속도는 엄청 느리고, 한 두 브랜드 빼고는 각각 어플 로그인해야 출첵 등 가능하네요. 단지 구매를 위한 어플 통합과 이런 홈페이지가 있다 라는 것만 알리기 위해 통합한건가요? 속도는 느리더라도 어플들을 합쳐야 하는 거 아닌가요? 단지 판매율 높이려는 의도 밖에 안보이네요	1	1	0	0	0	0	1	0
146	오 통합되어 좋으네요ㅋㅋ	0	0	0	0	0	0	0	0
147	어플 쓸때마다 업데이트 해야하는거 너무하지않냐	0	1	0	0	0	0	0	0
148	용량잡아먹으면서 강제 업뎃좀 하지마요	0	1	0	0	0	0	0	0
149	좋아요	0	0	0	0	0	0	0	0
150	롯데닷컴 잘 쓰고 있었는데 합치려면 제대로 잘 합치던지 아예 열리지도 않는데 뭐죠?	0	0	0	0	0	0	0	0
151	믿고 살 수 있어서 좋아요	0	0	0	0	0	0	0	0
152	좋습니다요~	0	0	0	0	0	0	0	0
153	임직원혜택이 일반할인보다 못한 불편한 진실	0	0	0	0	0	0	0	0
154	좋아요	0	0	0	0	0	0	0	0
155	잘받았어요~	0	0	0	0	0	0	0	0
156	포인트	0	0	0	0	0	0	1	0
157	검색 최강! 가격비교시 너무 좋아요	1	1	0	0	0	1	0	0
158	좋아요~~ 부모님선물했는데 너무 편하다고 하십니다.	0	0	0	0	0	0	0	0
159	회원가입도 안했는데 상품 배송은 뭐죠? 상품 신청 한적도 없는데	1	1	1	0	1	0	1	0
160	백화점 물건을 싸게 살수있네요	1	0	0	0	0	0	0	0
161	구정에도 선물 받았는데 추석에 또 받았네요 가족들과 함께 맛있게 잘 먹었어요 술 안주로 최고 입니다	1	0	0	0	0	0	0	0
162	전화받는 상담원이 엄청 불친절하네요.. 제가 굉장히 귀찮은가 봅니다. 직원에게 폭언어쩌고 하게 전에 응대를 좀 친절히 했으면 좋겠네요. 어려운일도 아닌데.. 전화하는 동안 내가 뭘 잘못한 느낌이였네요..	0	0	0	0	1	0	0	0
163	앱이 왜이리 무거운가요? 쇼핑앱이 이렇게 무겁고 딜레이되는건 처음이네요. 답답해서 뭘 살수가있어야조... 좀 가볍게.다시좀 개방해보세요 ㅡㅡ.	0	1	0	0	0	0	0	0
164	좋은가격에 제가 원하던 싸이즈 예요 생각보다 빨리도착했어요 잘 쓸게요	1	0	1	0	0	1	0	0
165	롯데시렁	0	0	0	0	0	0	0	0
166	이게 뭡니까.회원가입 다하고 로그인 할려하니 금방 한건데도 회원정보가 존재하지 않는다고 로그인이 안됩니다.진짜 어이없네	1	1	0	0	1	0	1	0
167	일본기업 안팔아줄랍니다.	0	0	0	0	0	0	0	0
168	좋아요 서비스도좋고 항상잘쓰고있어요	0	0	0	0	1	0	0	0
169	내 최애앱	0	1	0	0	0	0	0	0
170	결제하는데 진짜 화가 날 정도입니다. 카드결제 복잡하게 해놓고 설정이 제대로 먹히지도 않고 신용카드 찾아다 겨우 결제했네요	0	1	0	1	0	0	0	0
171	배송도 빠르고 다른 사이트보다 저렴하고 좋아요	0	1	1	0	0	0	0	0
172	다른 몰에 비해 롯데관련 몰은 속도가 현저히 느림.. 특히 구매창 넘어갈땐 90년대 랜선 마냥..	1	0	0	0	0	0	0	0
173	넘 좋아요~~~^^♥♥♥	0	0	0	0	0	0	0	0
174	도대체 한두번도아니고 로그아웃대서 비번치면 일치가안된다고 나오고 비번찾기누르면 인증안돼고 도대체 누가 도용하나 왜이래요 쓸수가없어요	0	1	0	0	0	0	0	0
175	오늘 오전부터 갑자기 아예 앱이 켜지질 않아요. 뭔일일까나요- 한국인은 사용 못한다던지 뭐 그런건가요? 저번주에 티 주문했더니 오늘 바지 왔던데. 다짜고짜 교환되니까 환불하라고 그러고. 롯데가 망쪼가 든건지.	1	1	0	0	0	0	0	0
176	로봇기능 있어 넘 좋아여!	0	1	0	0	0	0	0	0
177	왜 자꾸 아이디와비번이 틀리다고하는지요~ 롯데계열사랑 통합되어서 다른사이트는 열려있는데 롯데닷컴만 안되네요 이유가 뭡니까 답답하네요.	0	1	0	0	0	0	0	0
178	진짜 진짜 불편하다 뭘할때마다 인증에 확인에 등록은 안되고 오는 고객 다 떠나겠다 에휴...	0	1	0	1	1	0	0	0
179	접근성이 종떨어지는것이 문제네요	1	0	0	0	0	0	0	0
180	8일 첫 ㄹ4ㅛㅕㄹ7	0	0	0	0	0	0	0	0
181	개선되니 좋네요	0	1	0	0	0	0	0	0
